spectrum_vin (va=0.05) X,spectrum_vin (va=0.05) Y,spectrum_vin (va=0.02) X,spectrum_vin (va=0.02) Y,spectrum_vin (va=0.1) X,spectrum_vin (va=0.1) Y
27539.0625,-314.9083950114441,27539.0625,-322.8510592089574,27539.0625,-308.8877950981645
27636.71875,-314.9428722710433,27636.71875,-322.883520570654,27636.71875,-308.9222723577636
27734.375,-314.8253543600001,27734.375,-322.7659185891479,27734.375,-308.8047544467205
27832.03125,-315.0617525698395,27832.03125,-323.012565482532,27832.03125,-309.0411526565599
27929.6875,-315.0900665443596,27929.6875,-323.0541085961053,27929.6875,-309.06946663108
28027.34375,-315.0237196093959,28027.34375,-323.0304559941002,28027.34375,-309.0031196961162
28125,-315.3227484135806,28125,-323.2881231716038,28125,-309.302148500301
28222.65625,-315.0356083117565,28222.65625,-323.0093362426038,28222.65625,-309.0150083984769
28320.3125,-314.8289504803827,28320.3125,-322.7806664339641,28320.3125,-308.808350567103
28417.96875,-315.2175615792551,28417.96875,-323.1597235689423,28417.96875,-309.1969616659755
28515.625,-315.3112237416123,28515.625,-323.2633785972268,28515.625,-309.2906238283327
28613.28125,-315.1979113376203,28613.28125,-323.1836791185809,28613.28125,-309.1773114243407
28710.9375,-315.2597127543289,28710.9375,-323.2366463496851,28710.9375,-309.2391128410493
28808.59375,-315.293256132891,28808.59375,-323.1758956355193,28808.59375,-309.2726562196114
28906.25,-315.2014758548945,28906.25,-323.1549873814285,28906.25,-309.1808759416149
