spectrum_Out X,spectrum_Out Y,spectrum_ve X,spectrum_ve Y,spectrum_vin X,spectrum_vin Y
9570.312499999998,-57.71731571081553,9570.312499999998,-110.9183544755536,9570.312499999998,-299.9515194558725
9667.968749999998,-54.07451729097141,9667.968749999998,-107.2755560556877,9667.968749999998,-299.9788319151312
9765.624999999998,-53.35936771027033,9765.624999999998,-106.5604064745654,9765.624999999998,-300.0777240361526
9863.281249999998,-48.18967066607201,9863.281249999998,-101.3907094315024,9863.281249999998,-300.1919059075321
9960.937499999998,-45.72753102562329,9960.937499999998,-98.92856979146295,9960.937499999998,-300.235542800308
10058.59375,-42.63340325807412,10058.59375,-95.83444202419052,10058.59375,-300.3853793467612
10156.25,-51.23252787057329,10156.25,-104.4335666379538,10156.25,-300.4513061519211
10253.90625,-49.84369438762054,10253.90625,-103.0447331526192,10253.90625,-300.5159799932003
10351.5625,-53.93216988147572,10351.5625,-107.1332086481632,10351.5625,-300.5950614376662
10449.21875,-56.68599264950671,10449.21875,-109.8870314177066,10449.21875,-300.6693606023268
10546.875,-61.38379098842453,10546.875,-114.5848297503293,10546.875,-300.7745657252382
10644.53125,-50.87721725508111,10644.53125,-104.0782560211992,10644.53125,-300.8526167824901
10742.1875,-51.05522250482514,10742.1875,-104.2562612697545,10742.1875,-300.8679575457539
10839.84375,-53.79940079903506,10839.84375,-107.0004395635101,10839.84375,-300.9953538652098
10937.5,-58.12785971396852,10937.5,-111.3288984772802,10937.5,-301.1619427841458
11035.15625,-51.04752991883034,11035.15625,-104.2485686857696,11035.15625,-301.2755388089274
11132.8125,-54.97818004867369,11132.8125,-108.1792188135533,11132.8125,-301.1533929394062
11230.46875,-48.52008669822162,11230.46875,-101.7211254634158,11230.46875,-301.2177615815556
11328.125,-50.26830943239921,11328.125,-103.4693481979278,11328.125,-301.3865402727734
11425.78125,-46.48709947521574,11425.78125,-99.68813824162589,11425.78125,-301.4298333713716
11523.4375,-53.68117073777425,11523.4375,-106.8822095022968,11523.4375,-301.58540083948
11621.09375,-51.31573678407734,11621.09375,-104.5167755511162,11621.09375,-301.5897501903684
11718.75,-54.02686764571776,11718.75,-107.2279064133561,11718.75,-301.663578477082
11816.40625,-57.75400291225566,11816.40625,-110.9550416808115,11816.40625,-301.7682705858571
11914.0625,-49.47837328591554,11914.0625,-102.6794120529844,11914.0625,-301.8123057575736
12011.71875,-47.86190290443952,12011.71875,-101.0629416697699,12011.71875,-301.8777083749757
12109.375,-63.99165381027955,12109.375,-117.1926925771117,12109.375,-301.947802066714
12207.03125,-59.76977641279749,12207.03125,-112.9708151758765,12207.03125,-302.0626525536297
12304.6875,-46.49669959782345,12304.6875,-99.69773836328764,12304.6875,-302.1144239138496
12402.34375,-46.58077817001195,12402.34375,-99.78181693651665,12402.34375,-302.2928174060278
12500,-57.9402879972743,12500,-111.1413267646385,12500,-302.2722412428032
12597.65625,-51.8408667947572,12597.65625,-105.0419055620643,12597.65625,-302.1265781157314
