spectrum_ve (va=0.02) X,spectrum_ve (va=0.02) Y,spectrum_ve (va=0.05) X,spectrum_ve (va=0.05) Y,spectrum_ve (va=0.1) X,spectrum_ve (va=0.1) Y
21191.40625,-89.71212124287496,21191.40625,-106.3043441582417,21191.40625,-98.04313478840098
21289.0625,-89.00198725168005,21289.0625,-95.06992612912939,21289.0625,-110.3826270929749
21386.71875,-103.1376526119335,21386.71875,-98.28983229931976,21386.71875,-110.7155817148893
21484.375,-100.1160287325456,21484.375,-90.90292623880764,21484.375,-98.10137537240001
21582.03125,-94.80096499888413,21582.03125,-96.5580321011813,21582.03125,-97.38933004102276
21679.6875,-99.62065209352517,21679.6875,-92.67132492160768,21679.6875,-95.87406441011314
21777.34375,-92.74333557850102,21777.34375,-96.5117079178829,21777.34375,-95.51657055922334
21875,-91.73829558401577,21875,-99.20717732110823,21875,-90.45659478089115
21972.65625,-94.9199839675824,21972.65625,-94.86579059487597,21972.65625,-93.38818073292381
22070.3125,-95.26446444557507,22070.3125,-91.31275472958524,22070.3125,-90.81922680159244
22167.96875,-107.2955486536852,22167.96875,-104.1685357448886,22167.96875,-102.0017303798437
22265.625,-98.856584281945,22265.625,-92.60218496484045,22265.625,-91.43666002983224
22363.28125,-94.97601122978567,22363.28125,-94.64800518948536,22363.28125,-117.5808907778389
22460.9375,-96.85051386584193,22460.9375,-91.29388380955213,22460.9375,-94.0529645924953
22558.59375,-95.02439142584217,22558.59375,-89.01203213911231,22558.59375,-96.10920615369857
22656.25,-95.52135798278647,22656.25,-88.14729055030958,22656.25,-99.97491810701345
22753.90625,-102.6752757974305,22753.90625,-91.3095662219043,22753.90625,-91.25889492172816
22851.5625,-92.93849152728839,22851.5625,-100.6894197440244,22851.5625,-98.91053971979917
22949.21875,-95.73758976146321,22949.21875,-95.50725053207444,22949.21875,-95.21430029451315
23046.875,-97.52598508039156,23046.875,-88.70472786930097,23046.875,-100.5528172065633
23144.53125,-97.40317129286034,23144.53125,-91.730491655997,23144.53125,-90.99079635207647
23242.1875,-99.02371188542961,23242.1875,-97.89315735219836,23242.1875,-92.85724065597665
23339.84375,-104.4729638362939,23339.84375,-94.49322036817689,23339.84375,-96.7017235647689
23437.5,-95.19649798745971,23437.5,-93.34501006789688,23437.5,-91.19151054782407
23535.15625,-101.5604369921036,23535.15625,-90.27515002234558,23535.15625,-97.02516707409458
23632.8125,-95.88423403414075,23632.8125,-95.90916238490445,23632.8125,-101.9419860133029
23730.46875,-109.4263110945807,23730.46875,-92.19506023716477,23730.46875,-95.82906536502036
23828.125,-91.19756516956187,23828.125,-94.87598647166026,23828.125,-101.7751533085052
23925.78125,-97.63541973869152,23925.78125,-109.3164627777903,23925.78125,-98.92928329242503
24023.4375,-93.32982551751434,24023.4375,-93.46191720378839,24023.4375,-98.38772446320016
24121.09375,-92.21028287281983,24121.09375,-104.2634463219851,24121.09375,-102.2145345341933
24218.75,-95.82465319184529,24218.75,-92.16172473991021,24218.75,-97.99119317222755
24316.40625,-93.17839041306166,24316.40625,-92.48037907905358,24316.40625,-92.4207274831075
24414.0625,-90.1730700921398,24414.0625,-102.0196558907242,24414.0625,-97.59011808173815
24511.71875,-93.46884430149841,24511.71875,-91.82195655331257,24511.71875,-99.96907745493351
24609.375,-94.5874927209903,24609.375,-96.13129874861157,24609.375,-90.49940318467046
24707.03125,-102.1170654957214,24707.03125,-87.88756009079221,24707.03125,-87.47316695278869
24804.6875,-87.47247312368415,24804.6875,-88.68618492474843,24804.6875,-88.47044257451201
24902.34375,-96.06442466410519,24902.34375,-95.84405797718334,24902.34375,-91.86724162179685
25000,-95.66257397212304,25000,-97.3161471349176,25000,-87.67832187692834
25097.65625,-97.59691970172072,25097.65625,-89.38372731231014,25097.65625,-98.7285654498711
25195.3125,-99.97119940081802,25195.3125,-104.8107956894695,25195.3125,-90.23717735408773
25292.96875,-94.34096864886969,25292.96875,-86.98054149973088,25292.96875,-95.58035084876828
25390.625,-98.09140258173919,25390.625,-95.11153388605506,25390.625,-89.10373437985535
25488.28125,-97.45761905214012,25488.28125,-97.9433094147589,25488.28125,-103.6065345066332
25585.9375,-93.0837955817143,25585.9375,-95.74861779165259,25585.9375,-102.0955787355205
25683.59375,-86.6532923003747,25683.59375,-91.11223755915964,25683.59375,-91.00673929850169
25781.25,-97.75410584161746,25781.25,-88.71996561690804,25781.25,-86.42165469680981
25878.90625,-93.03971248692031,25878.90625,-92.48974563301576,25878.90625,-93.82283016447978
25976.5625,-86.98662720697737,25976.5625,-90.28308546114509,25976.5625,-93.83275612978368
26074.21875,-92.87124926753366,26074.21875,-94.64853692789633,26074.21875,-92.14932551462445
26171.875,-95.58880958998404,26171.875,-101.8439854958432,26171.875,-94.56063939805958
26269.53125,-93.00348735286904,26269.53125,-91.21220140870689,26269.53125,-99.76944133818888
26367.1875,-86.44999055955502,26367.1875,-91.1021027803441,26367.1875,-94.90089595911124
26464.84375,-90.27561094524275,26464.84375,-90.41330787208793,26464.84375,-87.48588541168817
26562.5,-97.28823597564778,26562.5,-96.42510862451074,26562.5,-89.28122893918751
26660.15625,-97.23344707784776,26660.15625,-106.7935151007358,26660.15625,-91.90473538829377
26757.8125,-90.34585526768721,26757.8125,-84.95576942653643,26757.8125,-98.64143666503085
26855.46875,-89.77499222244525,26855.46875,-88.11917135321806,26855.46875,-96.34312215804235
26953.125,-96.00802017320953,26953.125,-100.0059924618287,26953.125,-104.2997798309568
27050.78125,-87.40233813387226,27050.78125,-90.09878212611362,27050.78125,-88.76197773376548
27148.4375,-94.47107875010352,27148.4375,-92.34183196261894,27148.4375,-85.54482588925316
27246.09375,-86.76955573216681,27246.09375,-96.48119068043073,27246.09375,-90.83207662223759
27343.75,-85.10097182347728,27343.75,-91.6820766782721,27343.75,-92.12552714892935
27441.40625,-94.2955706235725,27441.40625,-96.51956433463621,27441.40625,-89.6307251150143
27539.0625,-93.57440265390983,27539.0625,-92.83098022344775,27539.0625,-84.68924044529456
27636.71875,-94.33581851332971,27636.71875,-97.86683667176823,27636.71875,-88.62427645561297
27734.375,-103.9194994099092,27734.375,-96.81557701964888,27734.375,-86.84728706869515
27832.03125,-87.5924378914381,27832.03125,-100.0537680307395,27832.03125,-88.70570355147183
27929.6875,-91.32002808897313,27929.6875,-84.90587822171209,27929.6875,-83.79923881395487
28027.34375,-88.20653138749172,28027.34375,-103.5427229028155,28027.34375,-90.47029578915516
28125,-90.33329241506837,28125,-92.38060932853827,28125,-87.03561604469743
28222.65625,-90.67247134265577,28222.65625,-88.15948762447283,28222.65625,-92.82785595969764
28320.3125,-95.51801157277939,28320.3125,-94.04582068007664,28320.3125,-92.74883145954517
28417.96875,-95.47873747338032,28417.96875,-84.00294267637742,28417.96875,-96.61643331890077
28515.625,-97.85583384802348,28515.625,-83.25862868710254,28515.625,-89.01449747059027
28613.28125,-94.72292695599236,28613.28125,-87.04517334762095,28613.28125,-101.9480444710506
28710.9375,-113.7162510675388,28710.9375,-84.13148119773558,28710.9375,-93.95437037070748
28808.59375,-88.06559070573775,28808.59375,-90.30528104837259,28808.59375,-89.13680073598108
28906.25,-94.21288951929694,28906.25,-94.91635449998938,28906.25,-91.25966631718171
